occupancy,race,sex,income,married,credit_history,di_ratio,pmi_denied,unverifiable,pmi_sought,debt_to_expense,chpr,chcp,pmi_sought,vr
1,1,0,48.0,0,1,35.83,0,0,0,23.39,0,2,0,0
1,1,1,88.0,1,1,44.0,0,0,0,20.0,0,1,0,1
1,1,1,47.0,1,1,34.0,0,0,0,23.0,0,1,0,0
1,1,1,43.0,1,1,23.0,0,0,1,22.0,0,1,1,0
1,1,1,53.0,0,0,37.0,1,0,1,29.0,0,3,1,0
1,1,1,44.0,0,1,19.0,0,0,0,16.0,0,2,0,0
1,1,1,321.0,1,1,28.0,0,0,0,18.0,0,6,0,1
1,1,1,107.0,0,1,33.6,0,0,0,18.6,0,6,0,0
1,1,1,70.0,1,1,27.0,0,0,0,22.0,0,1,0,1
1,1,1,70.0,1,1,38.0,0,0,0,25.0,0,1,0,0
1,1,1,48.0,1,1,32.7,0,0,0,28.4,0,2,0,0
1,0,1,288.0,1,1,34.0,0,0,0,32.0,0,1,0,0
1,1,1,44.0,1,1,36.0,0,0,1,29.0,1,1,1,1
1,1,1,48.0,0,1,38.0,0,0,0,31.0,0,2,0,0
1,1,1,177.0,1,1,40.4,0,0,0,17.9,0,1,0,0
1,1,1,141.0,1,1,20.0,0,0,0,19.0,0,6,0,1
1,1,1,96.0,1,1,31.0,0,0,0,25.0,0,1,0,1
1,1,1,120.0,1,1,28.0,0,0,0,26.0,1,1,0,0
1,1,1,400.0,1,0,55.0,0,0,0,24.0,0,3,0,0
1,1,0,11.0,1,1,33.0,0,0,0,29.0,1,2,0,1
1,1,1,72.0,1,1,26.0,0,1,0,25.0,0,1,0,0
1,1,1,62.0,1,1,27.0,0,0,0,23.0,0,2,0,0
1,1,1,120.0,1,1,42.09,0,0,0,30.15,0,1,0,0
1,1,1,107.0,1,1,39.0,0,0,1,33.0,0,1,1,0
1,1,1,63.0,1,1,30.71,0,0,0,24.0,0,5,0,0
1,1,1,61.0,0,1,27.0,0,0,0,20.0,0,1,0,1
1,0,1,28.0,1,1,25.0,0,0,1,22.0,0,1,1,1
1,1,1,128.0,1,1,26.22,0,0,0,25.58,0,1,0,1
1,1,0,27.0,0,1,31.0,0,0,0,29.0,0,1,0,0
2,1,1,347.0,1,1,24.0,0,0,0,22.0,0,1,0,1
1,1,1,106.0,1,1,35.0,0,0,0,31.0,0,2,0,1
1,1,1,115.0,1,1,35.0,0,0,0,24.4,0,1,0,0
1,1,1,43.0,1,1,36.6,0,0,0,28.2,0,1,0,1
1,1,1,87.0,1,1,39.45,0,0,0,33.23,0,1,0,1
1,1,1,73.0,1,1,33.12,0,0,0,17.25,0,2,0,0
1,1,1,54.0,1,1,33.57,0,0,0,32.46,0,1,0,1
1,1,1,36.0,1,1,43.0,0,0,0,27.0,0,1,0,1
1,1,1,92.0,1,1,38.0,0,0,0,31.0,0,2,0,0
1,1,1,999999.4,1,1,11.0,0,0,0,9.0,0,1,0,0
1,0,0,34.0,0,1,31.0,0,0,1,19.0,0,2,1,1
1,1,1,155.0,1,1,47.0,0,0,0,36.0,0,5,0,1
1,1,1,110.0,1,1,35.34,0,0,0,27.44,1,3,0,0
1,1,1,33.0,0,1,38.0,0,0,0,33.0,0,5,0,1
1,1,1,75.0,0,1,38.0,0,0,0,23.0,0,2,0,0
1,1,1,71.0,0,1,43.0,0,0,0,30.0,1,2,0,1
2,1,0,189.0,0,1,12.0,0,0,0,7.0,0,1,0,1
1,0,0,44.0,0,0,21.0,0,0,0,21.0,0,3,0,1
1,1,1,116.0,1,1,36.0,0,0,0,34.0,0,1,0,0
2,1,1,96.0,1,1,24.0,0,0,0,17.0,0,1,0,1
1,1,1,72.0,1,1,38.0,0,0,1,34.0,0,2,1,0
1,1,1,67.0,0,1,29.0,0,0,0,24.0,0,1,0,0
1,1,1,5.0,1,1,38.0,0,0,0,34.0,0,1,0,0
2,1,1,79.0,1,1,27.52,0,0,0,20.33,0,1,0,0
1,1,1,34.0,0,1,20.0,0,0,0,20.0,0,1,0,0
1,1,1,85.0,1,0,46.0,0,0,0,43.0,0,5,0,0
1,1,1,29.0,0,1,39.0,0,0,0,27.0,0,1,0,1
1,1,1,48.0,1,1,38.0,0,0,1,31.0,0,5,1,0
1,1,1,59.0,1,1,35.0,0,0,1,26.0,0,1,1,0
1,0,1,66.0,1,1,25.0,0,0,0,22.0,0,3,0,1
1,1,1,50.0,0,1,21.9,0,0,0,21.4,0,1,0,0
1,1,1,48.0,1,1,38.0,0,0,0,33.0,1,2,0,1
1,0,1,33.0,0,1,42.66,0,0,0,29.92,0,1,0,1
1,1,0,234.0,1,1,28.0,0,0,0,28.0,0,1,0,0
1,0,1,22.0,0,1,46.0,0,0,0,33.0,0,4,0,1
1,1,1,131.0,1,1,38.0,0,0,1,27.0,0,2,1,1
1,1,0,71.0,0,1,36.0,0,0,0,32.2,0,5,0,1
1,1,1,54.0,1,1,14.0,0,0,0,9.0,0,1,0,0
1,0,1,49.0,1,1,32.0,0,0,1,29.0,0,5,1,0
1,1,1,153.0,1,1,49.0,0,0,0,34.0,0,1,0,0
1,1,1,330.0,1,1,29.0,0,0,0,15.0,0,2,0,0
1,1,1,107.0,1,1,30.08,0,0,1,28.64,0,1,1,0
1,1,1,69.0,1,1,31.0,1,1,1,24.0,0,2,1,0
1,1,1,42.0,1,1,32.0,0,0,0,26.0,0,3,0,0
1,1,0,47.0,0,1,33.0,0,0,0,26.0,0,2,0,1
1,0,1,32.0,0,1,32.0,0,0,1,32.0,0,4,1,1
1,1,1,40.0,0,0,35.0,1,1,1,33.0,0,1,1,1
2,1,1,57.0,1,1,36.0,0,0,0,36.0,0,1,0,0
1,1,1,60.0,1,1,36.0,0,0,0,26.0,0,1,0,0
1,1,1,288.0,0,0,20.0,0,0,0,7.0,0,6,0,0
1,1,1,41.0,1,1,36.5,0,0,0,28.0,1,1,0,0
1,1,1,69.0,1,1,34.0,0,0,1,23.0,0,1,1,0
1,1,1,33.0,0,1,35.0,0,0,0,35.0,0,1,0,1
1,1,1,35.0,0,1,38.4,0,0,0,28.0,0,2,0,0
1,0,1,47.0,1,0,39.0,0,0,1,29.0,1,6,1,1
1,0,1,350.0,0,1,20.0,0,0,0,11.0,0,1,0,1
1,1,1,143.0,0,1,28.31,0,0,0,15.1,0,2,0,1
1,1,0,28.0,1,1,29.8,0,0,0,25.9,0,1,0,0
1,1,1,108.0,1,1,28.0,0,0,0,25.0,0,2,0,0
1,1,0,39.0,1,1,17.0,0,0,0,17.0,0,1,0,0
1,1,1,84.0,1,1,55.0,0,0,0,23.0,0,3,0,0
1,1,0,144.0,0,1,25.0,0,0,0,14.5,0,1,0,0
1,1,1,37.0,0,1,23.0,0,0,0,21.0,0,1,0,1
1,1,1,42.0,1,1,21.0,0,0,0,19.0,0,2,0,0
1,1,1,45.0,0,1,36.0,0,0,1,34.0,0,1,1,0
1,1,1,56.0,1,1,31.0,0,0,0,29.0,0,1,0,0
1,1,1,75.0,0,1,41.69,1,0,1,21.09,0,2,1,1
1,1,0,26.0,0,1,32.0,0,0,1,32.0,0,1,1,1
1,1,0,43.0,0,1,32.0,1,0,1,24.0,0,1,1,1
1,1,1,48.0,0,1,27.0,0,0,0,23.0,1,3,0,1
1,1,1,68.0,0,0,47.0,0,0,0,32.0,0,5,0,0
1,1,1,284.0,1,0,29.0,0,0,0,23.0,0,6,0,1
1,0,0,24.0,1,0,22.0,1,0,1,19.0,0,2,1,1
1,1,1,70.0,0,1,23.0,0,0,0,21.0,0,1,0,0
1,1,1,40.0,1,1,35.0,0,0,0,35.0,0,2,0,0
1,0,1,43.0,1,1,40.0,0,0,0,34.0,0,1,0,1
1,1,1,85.0,1,1,32.5,0,0,0,27.79,0,5,0,0
1,1,1,29.0,0,1,39.24,0,0,0,24.79,0,1,0,0
1,1,1,33.0,1,1,36.0,0,0,1,22.0,0,2,1,0
1,1,1,75.0,1,1,44.47,0,0,0,36.07,0,2,0,1
1,1,0,85.0,1,1,34.1,0,0,1,25.1,0,1,1,0
1,1,0,43.0,0,1,28.0,0,0,0,25.0,0,1,0,0
1,1,1,38.0,1,1,34.4,0,0,1,25.1,0,1,1,0
1,1,1,59.0,1,1,27.9,0,0,0,20.8,0,1,0,0
1,1,0,53.0,0,1,43.91,0,0,0,42.61,0,6,0,1
1,1,1,420.0,1,1,49.0,0,0,0,12.0,0,5,0,0
1,1,1,37.0,0,1,33.0,0,0,0,31.0,0,1,0,0
1,1,0,89.0,0,1,35.0,0,0,0,30.0,0,1,0,1
1,1,1,88.0,1,1,33.0,0,0,0,32.0,0,1,0,1
1,1,1,34.0,0,1,10.0,0,0,1,8.0,0,1,1,0
1,1,1,35.0,1,1,26.0,0,0,0,26.0,0,1,0,1
1,1,1,48.0,1,1,34.0,0,0,1,30.0,0,1,1,1
1,1,1,88.0,1,1,22.0,0,0,1,21.0,0,1,1,0
1,1,1,101.0,1,1,37.0,0,0,1,28.0,0,1,1,0
1,0,0,38.0,1,1,33.59,0,0,0,21.94,0,1,0,1
1,1,0,71.0,1,1,29.4,0,0,1,25.3,0,1,1,0
1,1,1,105.0,1,0,50.0,0,0,0,29.0,0,2,0,0
1,1,1,44.0,1,1,31.67,0,0,0,20.89,0,1,0,0
1,0,0,67.0,0,0,35.0,0,0,0,26.0,1,6,0,1
1,1,0,31.0,0,1,34.0,0,0,0,20.0,0,1,0,1
1,1,1,48.0,0,1,38.0,0,0,1,24.0,0,1,1,1
1,0,0,32.0,0,1,42.0,0,0,1,32.0,0,1,1,1
1,1,1,45.0,1,1,32.0,0,0,1,22.1,0,1,1,0
1,0,1,81.0,1,1,37.45,0,0,1,26.3,0,2,1,0
1,1,1,63.0,1,1,36.0,0,0,1,22.0,0,2,1,0
1,1,1,101.0,1,1,32.0,0,0,0,29.0,0,2,0,0
1,1,0,68.0,0,1,36.0,0,0,1,35.0,0,1,1,1
2,1,1,68.0,1,1,41.0,0,0,0,12.0,0,1,0,1
1,1,1,47.0,1,1,39.0,0,0,0,34.0,0,1,0,1
1,1,1,37.0,1,1,40.0,0,0,0,32.0,0,1,0,1
1,1,1,33.0,0,1,39.9,0,0,0,27.2,0,1,0,1
1,1,1,56.0,0,0,43.0,0,0,0,34.0,0,6,0,0
1,1,1,85.0,1,1,39.0,0,0,0,20.0,0,1,0,0
1,0,1,41.0,0,1,39.28,0,0,0,30.38,0,6,0,1
2,1,1,44.0,1,1,52.0,0,0,0,31.0,0,1,0,1
1,0,0,56.0,1,0,28.66,0,0,0,19.92,1,6,0,1
1,1,1,430.0,1,1,24.5,0,0,0,21.3,0,1,0,1
1,1,1,70.0,1,1,38.21,0,0,0,33.09,0,1,0,0
1,1,1,49.0,0,1,37.0,0,0,0,30.0,0,1,0,1
1,1,1,65.0,1,1,32.4,0,0,0,15.6,0,1,0,1
1,1,0,120.0,0,1,13.0,0,0,0,11.0,0,1,0,1
1,1,1,91.0,0,1,36.0,0,0,1,20.0,1,6,1,1
1,1,1,53.0,0,1,37.0,0,0,1,33.0,0,2,1,0
1,1,0,48.0,1,1,37.0,0,0,0,29.0,0,1,0,0
1,1,1,43.0,1,1,33.1,0,0,1,25.4,0,3,1,0
1,1,1,58.0,1,1,36.4,0,0,0,24.9,0,1,0,0
1,1,1,40.0,0,1,38.0,1,0,1,31.0,0,1,1,0
1,1,0,69.0,0,1,32.0,0,0,0,26.0,0,2,0,0
1,1,1,59.0,1,0,37.0,1,0,1,22.0,1,6,1,0
1,1,1,82.0,1,1,29.0,0,0,0,28.0,0,2,0,1
1,0,1,49.0,1,1,34.0,0,0,0,32.0,1,6,0,0
1,0,0,66.0,0,0,41.0,0,0,0,27.0,1,5,0,1
1,1,1,108.0,1,1,43.0,0,0,0,24.0,0,2,0,0
1,1,1,204.0,1,1,15.0,0,0,0,7.0,0,1,0,1
1,1,1,64.0,1,1,22.0,0,0,0,21.0,0,2,0,0
1,1,1,52.0,0,0,35.9,0,0,1,28.9,0,2,1,0
1,1,0,80.0,0,0,32.2,0,0,1,23.1,0,6,1,0
1,1,1,7.0,1,0,300.0,0,1,0,300.0,0,1,0,1
1,1,1,54.0,0,1,37.0,0,0,0,27.0,0,2,0,0
1,0,1,38.0,1,1,38.0,0,0,1,31.0,0,1,1,1
1,1,1,48.0,1,1,31.9,0,0,0,27.8,0,2,0,0
1,0,1,57.0,1,1,33.0,0,0,0,24.0,0,1,0,0
2,1,1,261.0,1,1,7.0,0,1,0,2.0,0,1,0,1
1,1,1,101.0,1,1,36.0,0,0,0,24.0,0,5,0,0
1,1,0,32.0,0,1,57.0,0,0,0,36.0,0,1,0,1
2,1,1,82.0,1,1,24.0,0,0,0,8.0,0,3,0,1
1,1,1,42.0,0,1,39.0,0,0,1,30.0,0,2,1,0
1,1,0,51.0,0,1,35.0,0,0,0,28.0,0,1,0,0
1,1,1,108.0,1,1,31.58,0,0,0,16.91,0,1,0,1
1,1,0,38.0,1,1,37.67,0,0,0,31.24,0,1,0,1
1,1,1,33.0,1,1,24.2,0,0,0,17.7,0,1,0,0
1,1,1,38.0,1,0,26.5,1,0,1,26.5,1,2,1,0
1,1,1,999999.4,1,0,42.0,0,0,0,29.0,1,6,0,1
1,1,1,93.0,0,1,35.0,0,0,0,26.0,0,3,0,0
1,1,1,113.0,1,1,32.0,0,0,0,31.0,0,1,0,0
1,1,0,41.0,0,1,41.0,0,0,0,29.0,0,1,0,1
1,1,1,67.0,0,1,25.0,0,0,0,24.0,0,2,0,0
1,0,1,30.0,0,1,29.0,0,0,0,27.0,0,1,0,1
1,1,1,72.0,0,1,40.01,0,0,0,27.88,0,1,0,0
1,1,1,79.0,0,1,29.0,0,0,0,29.0,0,1,0,0
1,1,1,120.0,1,1,49.0,0,0,0,27.0,0,1,0,1
1,1,1,34.0,1,1,31.0,0,0,0,19.0,0,5,0,0
1,1,1,43.0,1,1,37.3,0,0,0,31.5,0,1,0,0
1,1,1,99.0,0,1,33.0,0,0,0,25.0,0,2,0,0
1,1,0,51.0,0,1,37.5,0,0,0,26.97,0,1,0,1
1,1,1,44.0,1,1,31.0,0,0,0,26.0,0,1,0,1
1,1,1,63.0,1,1,40.0,0,0,0,32.0,0,1,0,0
1,1,1,141.0,1,1,27.0,0,0,1,27.0,0,6,1,1
1,1,1,195.0,0,0,32.0,0,0,0,12.0,1,3,0,0
1,1,1,92.0,1,0,16.0,0,0,0,14.0,0,6,0,0
1,1,1,72.0,0,1,29.0,0,0,0,26.0,0,1,0,1
1,1,0,54.0,0,1,37.0,0,0,0,28.0,0,1,0,0
1,1,1,123.0,1,1,39.0,0,0,0,19.0,0,1,0,0
1,1,1,52.0,1,1,27.9,0,0,1,27.5,0,1,1,0
1,1,1,55.0,1,1,26.6,0,0,1,21.2,0,1,1,1
2,1,1,70.0,1,1,34.0,0,0,0,27.0,0,2,0,0
1,1,1,277.0,0,1,25.3,0,0,0,16.8,0,6,0,0
1,1,1,66.0,1,1,27.0,0,0,0,23.0,0,1,0,1
2,1,1,47.0,1,1,45.0,0,0,0,21.0,0,2,0,0
1,0,1,34.0,1,0,42.0,1,1,1,27.0,0,3,1,1
1,1,0,72.0,0,1,28.2,0,0,1,25.12,0,2,1,0
1,1,1,36.0,1,1,15.0,0,1,0,13.0,0,1,0,1
1,0,0,39.0,0,1,81.42,0,0,0,39.33,1,3,0,0
1,1,1,47.0,1,0,95.0,0,0,0,44.0,0,6,0,0
1,1,1,71.0,0,1,32.0,0,0,0,22.0,0,1,0,0
1,1,1,63.0,1,1,33.0,0,0,0,27.0,0,1,0,1
1,1,1,122.0,1,1,35.77,0,0,0,14.12,0,1,0,0
1,1,1,46.0,0,1,36.0,0,1,0,23.0,0,1,0,1
1,1,1,72.0,1,1,24.0,0,0,0,24.0,0,1,0,0
1,0,1,60.0,0,1,35.0,0,0,0,22.0,0,3,0,1
1,1,1,30.0,0,1,31.0,0,0,0,31.0,0,4,0,0
1,1,1,37.0,0,1,27.0,0,0,0,27.0,0,1,0,1
1,1,0,47.0,0,1,28.0,0,0,0,20.0,0,1,0,1
1,1,1,151.0,1,1,31.9,0,0,0,31.5,0,1,0,0
1,1,1,130.0,1,1,32.0,0,0,0,25.0,0,1,0,1
1,1,1,71.0,1,1,39.0,0,0,1,25.0,0,2,1,0
1,0,1,75.0,0,1,29.0,0,0,1,27.0,0,1,1,0
1,1,1,56.0,1,1,31.06,0,0,1,30.15,0,1,1,0
1,1,1,120.0,1,1,38.0,0,0,0,33.0,0,2,0,0
1,1,1,56.0,1,1,35.0,0,1,0,21.0,0,2,0,0
1,1,1,37.0,0,1,35.0,0,0,0,30.0,1,1,0,1
1,1,1,75.0,1,1,29.0,0,0,1,19.0,0,2,1,0
1,1,1,49.0,1,1,37.31,0,0,1,28.38,1,6,1,0
1,1,1,100.0,1,1,11.0,0,0,0,6.0,0,1,0,1
1,1,1,108.0,1,1,35.51,0,0,0,19.98,0,3,0,0
1,1,1,122.0,1,1,36.0,0,0,0,27.0,0,2,0,1
1,1,1,477.0,1,1,27.7,0,0,0,20.5,0,2,0,1
1,1,1,101.0,1,1,36.4,0,0,1,20.3,0,1,1,0
1,1,1,56.0,0,1,36.8,0,0,0,28.28,0,1,0,1
1,1,0,56.0,1,1,35.0,0,0,1,30.3,0,5,1,0
1,1,1,49.0,0,1,34.0,0,0,1,29.0,0,3,1,1
1,1,1,55.0,1,1,27.0,0,1,0,23.0,0,1,0,0
1,1,1,87.0,0,1,33.4,0,0,1,26.9,0,1,1,0
1,1,1,119.0,1,1,23.5,0,0,0,22.6,0,1,0,0
1,1,1,213.0,1,1,24.0,0,0,0,20.0,0,1,0,0
1,1,1,59.0,0,1,39.2,0,0,1,26.8,0,1,1,0
1,1,1,471.0,1,1,28.0,0,1,0,26.0,0,3,0,0
1,1,1,72.0,1,1,25.0,0,1,0,9.0,1,1,0,0
1,1,1,74.0,1,1,36.0,0,0,1,27.0,0,2,1,0
1,1,0,55.0,0,1,36.0,0,0,1,29.0,0,1,1,0
1,1,0,46.0,1,1,28.4,0,0,0,28.14,0,1,0,0
1,1,1,132.0,1,1,33.0,0,0,0,20.0,0,1,0,0
1,1,0,45.0,0,1,29.0,0,0,0,28.0,0,1,0,1
1,1,1,63.0,0,1,36.0,0,0,1,25.0,1,5,1,0
1,1,0,122.0,0,1,57.0,0,0,0,38.0,0,1,0,0
1,0,0,56.0,0,1,39.0,0,0,0,28.0,0,1,0,0
1,0,1,46.0,0,1,36.8,0,0,1,28.1,0,2,1,1
1,1,1,66.0,1,1,37.0,0,0,0,30.0,0,1,0,0
1,1,1,84.0,1,1,29.9,0,0,0,26.7,0,1,0,0
1,1,1,39.0,1,1,39.0,0,0,0,33.0,0,2,0,0
1,1,1,128.0,1,1,21.7,0,0,0,21.3,0,1,0,0
1,1,1,54.0,1,1,41.0,0,0,0,30.0,0,1,0,0
1,0,1,80.0,0,0,8.0,0,0,0,8.0,0,4,0,1
1,1,1,50.0,1,1,34.66,0,0,0,31.58,0,2,0,1
1,1,1,138.0,1,1,18.0,0,0,0,18.0,0,1,0,0
1,0,1,60.0,1,1,30.0,0,1,0,25.0,0,6,0,0
1,1,1,157.0,1,1,23.0,0,0,0,14.0,0,1,0,1
1,1,0,48.0,0,1,31.6,0,0,1,28.89,0,1,1,1
1,1,0,39.0,0,1,30.0,0,0,0,26.0,0,1,0,0
1,1,0,45.0,0,1,25.0,0,0,0,18.0,0,1,0,1
1,1,1,56.0,1,1,31.0,0,1,0,31.0,0,1,0,1
1,1,1,50.0,0,0,47.0,0,0,0,13.0,1,3,0,1
1,1,0,58.0,1,1,29.0,0,0,0,22.0,0,2,0,1
1,1,1,242.0,0,1,32.05,0,0,0,31.7,0,1,0,1
1,1,1,169.0,1,1,20.0,0,0,0,8.0,0,1,0,0
1,1,1,41.0,1,1,43.0,0,0,1,32.0,0,1,1,1
1,1,1,54.0,0,1,40.0,0,0,0,18.0,0,1,0,0
1,0,1,65.0,1,1,34.0,0,0,0,31.0,0,3,0,1
1,1,1,66.0,1,1,42.0,0,0,0,32.0,0,1,0,0
1,0,1,70.0,1,1,23.11,0,0,1,20.72,0,1,1,0
1,1,1,34.0,0,1,31.0,0,0,0,30.0,0,1,0,0
1,1,1,83.0,1,1,39.05,0,0,0,36.52,0,1,0,0
1,0,0,56.0,0,1,58.0,0,0,0,51.0,1,1,0,1
1,1,1,60.0,1,1,38.0,0,0,0,31.0,0,5,0,0
1,1,0,53.0,0,1,30.4,0,0,0,27.5,0,2,0,0
1,1,1,86.0,1,1,34.0,0,0,0,24.0,1,1,0,0
1,1,1,118.0,1,1,34.0,0,0,0,30.0,0,1,0,1
1,0,0,31.0,0,0,83.0,0,1,0,49.0,0,5,0,1
1,1,1,45.0,0,1,38.0,0,0,0,28.0,0,1,0,0
1,1,1,67.0,1,1,22.0,0,0,0,21.0,0,1,0,0
1,1,0,60.0,0,1,31.68,0,0,0,23.88,0,1,0,1
1,1,1,96.0,1,1,24.0,0,0,0,24.0,0,1,0,0
1,1,1,57.0,0,1,33.27,0,0,0,26.77,0,1,0,0
1,0,1,51.0,1,0,33.0,0,0,0,33.0,0,5,0,1
1,1,1,130.0,0,1,39.0,0,0,0,27.9,0,1,0,1
1,1,1,73.0,1,1,14.0,0,0,0,9.0,0,1,0,0
1,1,1,19.0,0,1,35.0,0,0,1,26.0,0,2,1,1
1,0,0,34.0,0,1,43.0,0,0,0,34.0,0,1,0,0
1,1,1,180.0,1,1,19.0,0,0,0,13.0,0,1,0,1
1,0,1,104.0,1,1,35.0,0,0,1,22.0,0,2,1,1
1,1,1,44.0,0,1,23.0,0,0,0,23.0,0,1,0,0
1,1,1,123.0,0,1,32.0,0,0,0,29.0,0,1,0,1
1,1,0,53.0,0,1,36.0,0,0,0,31.0,0,1,0,1
1,0,0,26.0,0,1,32.88,0,0,1,30.24,0,1,1,0
1,0,1,71.0,0,1,30.83,0,0,0,18.85,0,2,0,1
1,1,1,53.0,0,1,37.0,0,0,1,34.0,0,1,1,0
1,0,0,26.0,0,0,47.9,0,0,0,47.5,0,6,0,1
1,0,0,55.0,1,1,38.0,0,0,0,27.0,0,1,0,1
1,1,0,60.0,1,1,26.0,0,0,0,22.0,0,2,0,1
1,1,1,72.0,1,1,37.0,0,0,1,28.0,0,2,1,0
1,1,1,47.0,1,1,33.0,0,0,1,30.0,0,1,1,0
1,1,1,106.0,1,1,23.0,0,1,0,13.0,0,1,0,0
1,1,0,72.0,0,1,37.79,0,0,0,22.86,0,1,0,0
1,1,0,48.0,0,1,35.56,0,0,0,25.04,0,1,0,0
1,1,1,46.0,0,1,28.8,0,0,0,28.8,0,4,0,0
1,0,1,111.0,1,1,30.1,0,0,0,27.8,0,2,0,1
1,0,1,101.0,0,1,34.0,0,0,0,17.0,0,6,0,0
1,1,1,76.0,1,1,32.0,0,0,1,29.0,0,1,1,0
1,1,1,45.0,1,1,38.0,0,0,0,28.0,0,5,0,0
1,1,1,184.0,1,1,39.0,0,0,0,30.0,1,1,0,0
2,1,1,43.0,0,1,10.43,0,0,0,9.64,0,4,0,1
1,1,1,48.0,1,0,36.0,0,0,0,26.0,1,6,0,1
1,1,1,77.0,1,1,42.0,0,0,0,23.0,0,2,0,0
1,1,1,115.0,1,1,35.0,0,0,0,34.0,0,1,0,0
1,1,1,70.0,1,1,30.4,0,0,0,28.8,0,1,0,0
1,1,1,43.0,0,1,36.14,0,0,1,33.7,0,1,1,1
1,1,1,64.0,0,1,34.0,0,0,0,29.0,0,1,0,0
1,1,1,51.0,1,1,26.0,0,0,0,23.0,0,1,0,0
1,1,1,57.0,0,1,37.0,0,0,1,26.0,0,5,1,0
1,1,1,78.0,1,1,27.0,0,0,1,22.0,0,3,1,1
1,0,1,141.0,1,1,38.2,0,0,0,26.6,0,6,0,0
1,1,0,63.0,0,1,35.0,0,0,0,21.0,0,1,0,0
1,1,1,84.0,1,1,38.0,0,0,0,30.0,0,2,0,0
1,1,1,64.0,1,1,28.0,0,0,1,26.0,0,1,1,0
1,0,1,63.0,0,1,37.14,0,0,1,31.89,0,2,1,0
1,1,1,83.0,1,1,36.4,0,0,1,27.6,0,1,1,0
1,1,1,31.0,1,1,27.9,0,0,0,27.9,0,5,0,0
1,1,1,65.0,1,1,34.0,0,0,0,33.0,1,1,0,0
1,1,0,37.0,0,1,83.0,0,1,0,72.0,0,3,0,1
1,1,0,67.0,0,0,28.0,0,0,0,23.0,0,3,0,0
1,1,1,72.0,1,1,44.0,0,0,0,37.0,0,2,0,0
1,1,1,56.0,1,1,36.0,0,0,1,28.0,0,5,1,1
1,1,1,64.0,0,1,39.0,0,0,1,28.0,0,1,1,0
1,0,1,32.0,1,1,24.0,0,0,1,24.0,0,3,1,1
1,1,1,204.0,1,1,17.6,0,0,0,12.0,0,2,0,0
1,1,0,53.0,0,1,37.0,0,0,0,33.0,0,1,0,1
