,seq,s3,s4,s5,s6,s7,s9,s11,s13,s14,s15,s16,s17,s18,s19a,s19b,s19c,s19d,s20,s23a,s24a,s25a,s26a,s27a,s30a,s30c,s31a,s31c,s32,s33,s34,s35,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,netw,uria,rtdum,bd,mi,old,vr,school,chval,dnotown,dprop
11,23,1,1,1,155,1,1120,0,5,8.0,1,4.0,62.0,0.0,,,,,1.0,U,0,4.0,4.0,0,5208.0,0.0,5208.0,0.0,1582.0,215.0,0.0,50.0,1.0,1,12.0,2,1,0,30.0,31.0,2,360.0,,225.0,2,0,0,Y,0,0,5.0,-1.0,4.3,0,0,1,0,0,16.0,225.5325,0,0
12,24,1,1,1,100,3,1120,0,5,5.0,1,2.0,53.0,,,,,,1.0,M,4,11.0,2.0,0,2638.0,1019.0,2638.0,1019.0,1395.0,186.0,0.0,16.0,1.0,1,12.0,2,1,0,27.0,28.0,1,360.0,,186.0,2,1,1,N,0,1,2.0,32.0,4.3,0,0,1,0,0,18.0,203.6359,0,0
13,26,1,1,1,289,1,1120,0,5,5.0,1,2.0,116.0,0.0,,,,,1.0,M,1,14.0,26.0,0,4916.0,4185.0,4916.0,4185.0,3071.0,445.0,0.0,161.0,1.0,1,14.0,1,1,0,34.0,36.0,2,360.0,,445.0,2,0,0,N,0,0,1.0,395.0,10.6,0,1,1,1,0,18.0,285.2852,0,0
14,27,1,1,1,58,1,1120,0,5,5.0,1,2.0,54.0,0.0,,,,,1.0,M,0,8.0,0.6,0,2383.0,2138.0,2383.0,2138.0,699.0,160.0,0.0,31.0,1.0,1,13.0,1,1,0,15.0,18.0,1,360.0,,160.0,2,0,0,N,0,0,2.0,237.0,3.2,0,1,1,0,0,14.0,203.6794,0,0
15,28,1,1,1,130,1,1120,0,5,5.0,1,2.0,55.0,3.0,,,,,1.0,M,1,5.0,5.0,0,2493.0,2123.0,2493.0,2123.0,1267.0,156.0,0.0,33.0,1.0,1,14.0,1,2,0,27.0,36.0,1,360.0,,156.0,2,1,0,N,0,0,2.0,77.0,3.2,0,1,1,1,0,17.0,234.4846,0,0
16,29,1,1,1,180,1,1120,0,5,5.0,1,2.0,100.0,1.0,,,,,1.0,M,2,12.0,6.0,0,5250.0,2667.0,5667.0,2667.0,1873.0,273.0,0.0,251.0,1.0,1,10.0,1,1,0,22.0,23.0,2,360.0,,280.0,2,0,0,N,0,0,2.0,494.0,3.2,0,0,1,1,0,16.0,239.1944,0,0
17,30,1,1,1,70,1,1120,0,5,8.0,2,4.0,35.0,3.0,,,,,1.0,M,2,5.0,0.9,0,2917.0,0.0,2917.0,0.0,792.0,160.0,0.0,34.0,1.0,1,13.0,1,2,0,27.0,32.0,2,360.0,,160.0,2,0,0,N,0,0,1.0,358.0,3.2,0,1,1,1,1,14.0,235.7884,0,0
18,31,1,1,1,143,1,1120,0,5,5.0,1,2.0,60.0,3.0,,,,,1.0,M,2,5.0,2.0,0,5000.0,0.0,5000.0,0.0,1453.0,178.0,0.0,75.0,1.0,1,22.0,2,2,0,29.0,31.0,1,360.0,,180.0,2,0,0,N,0,0,2.0,449.0,4.3,0,0,1,1,0,16.0,203.6359,0,0
19,32,1,1,1,124,1,1120,0,5,5.0,1,2.0,48.0,0.0,,,,,1.0,U,0,8.0,1.0,0,3055.0,974.0,3055.0,974.0,1144.0,155.0,0.0,135.0,1.0,1,12.0,2,2,0,28.0,37.0,1,360.0,,155.0,2,0,0,N,0,0,2.0,-90.0,3.1,0,0,1,0,0,18.0,187.2479,0,0
20,36,1,1,1,147,3,1120,0,5,5.0,1,2.0,59.0,,,3.0,,,1.0,M,1,7.0,7.0,0,4170.0,0.0,4945.0,0.0,1095.0,164.0,0.0,22.0,2.0,0,31.0,1,6,1,22.0,37.0,1,360.0,,164.0,2,1,1,N,0,0,2.0,173.0,3.1,0,0,1,1,0,20.0,271.3592,0,0
21,37,1,1,1,123,1,1120,0,5,5.0,1,2.0,51.0,1.0,,,,,1.0,M,0,9.0,9.0,0,3250.0,998.0,3250.0,998.0,1301.0,137.0,0.0,8.0,1.0,1,9.0,2,3,0,31.0,39.0,2,360.0,,140.0,2,1,0,N,0,0,2.0,72.0,5.3,0,1,1,0,0,13.0,220.4947,0,0
22,38,1,1,1,105,1,1120,0,5,5.0,1,1.0,48.0,1.0,,,,,1.0,U,0,4.0,4.0,0,2133.0,1886.0,2133.0,1886.0,1268.0,144.0,0.0,44.0,1.0,1,6.0,2,1,0,32.0,32.0,2,360.0,,136.0,2,0,0,Y,0,0,2.0,111.0,10.6,0,1,1,0,1,16.0,263.9199,0,0
23,40,1,1,1,264,1,1120,0,5,5.0,1,2.0,107.0,0.0,,,,,1.0,M,0,2.0,2.0,0,5834.0,1976.0,5834.0,3035.0,2896.0,293.0,0.0,34.0,1.0,1,24.0,2,1,0,33.0,39.0,2,360.0,,293.0,2,1,0,N,0,0,1.0,102.0,3.2,0,0,1,0,0,16.0,257.0874,0,0
24,41,1,1,1,142,1,1120,0,5,5.0,1,2.0,58.0,1.0,,,,,1.0,U,0,5.0,4.0,0,2407.0,2427.0,2407.0,2427.0,1492.0,217.0,0.0,19.0,1.0,1,17.0,2,1,0,31.0,33.0,2,360.0,,217.0,2,0,0,N,0,0,2.0,68.0,3.9,0,1,1,0,0,14.0,240.6968,0,0
25,42,1,1,1,85,1,1120,0,5,5.0,2,1.0,100.0,3.0,,,,,1.0,U,0,8.0,8.0,0,2417.0,5250.0,2707.0,5650.0,1083.0,120.0,0.0,165.0,1.0,1,25.0,2,1,0,13.0,28.0,2,180.0,,135.0,1,0,0,N,0,0,2.0,136.0,3.2,0,0,1,0,0,20.0,418.5294,0,0
26,44,1,1,1,102,1,1120,0,5,8.0,2,4.0,41.0,0.0,,,,,1.0,U,0,12.0,2.0,0,3417.0,0.0,3417.0,0.0,959.0,113.0,0.0,16.0,1.0,1,15.0,2,1,0,28.0,37.0,1,360.0,,114.0,1,1,0,N,0,0,2.0,47.0,1.8,0,1,1,0,0,16.0,220.2847,0,0
27,46,1,1,1,100,1,1120,0,5,8.0,1,4.0,56.0,1.0,,,,,1.0,U,1,15.0,14.0,0,2930.0,0.0,4606.0,0.0,1159.0,197.0,0.0,108.0,1.0,1,17.0,2,1,0,25.0,30.0,2,360.0,,206.0,2,0,0,N,0,0,2.0,156.0,3.2,0,0,1,1,1,17.0,221.8138,0,0
28,47,1,1,1,150,1,1120,0,5,5.0,1,2.0,67.0,1.0,,,,,1.0,M,2,20.0,3.0,0,4304.0,1289.0,4304.0,1289.0,1578.0,158.0,0.0,27.0,1.0,1,12.0,2,1,0,29.0,31.0,2,360.0,,158.0,2,1,0,N,0,0,2.0,73.0,3.9,0,0,0,1,1,12.0,211.0277,0,0
29,48,1,1,1,180,1,1120,0,3,3.0,1,2.0,99.0,0.0,,,,,1.0,U,0,10.0,5.0,0,4002.0,6872.0,4002.0,6872.0,1741.0,202.0,0.0,27.0,2.0,1,1.0,2,1,0,21.0,26.0,1,360.0,,202.0,2,1,0,N,0,0,2.0,23.0,1.8,0,1,1,0,0,17.0,192.15,0,0
30,50,1,1,1,120,1,1120,0,5,5.0,2,1.0,55.0,3.0,,,,,1.0,U,0,10.0,10.0,0,1907.0,2365.0,1907.0,2365.0,1234.0,139.0,0.0,20.0,1.0,1,13.0,2,1,0,29.0,36.0,2,360.0,,139.0,2,1,0,N,0,0,1.0,44.0,4.3,0,1,1,0,0,12.0,219.8179,0,0
31,52,1,1,1,175,1,1120,0,5,5.0,1,2.0,105.0,0.0,,,,,1.0,M,2,10.0,0.7,0,7388.0,1375.0,7388.0,1375.0,1754.0,245.0,0.0,48.0,1.0,1,33.0,1,5,0,20.0,37.0,1,360.0,,245.0,2,0,0,N,0,0,2.0,319.0,4.3,0,0,1,1,1,16.0,244.4367,0,0
32,53,1,1,1,154,1,1120,0,5,5.0,1,2.0,93.0,1.0,,,,,1.0,U,0,7.0,7.0,0,3000.0,2583.0,4300.0,3417.0,1587.0,205.0,0.0,76.0,1.0,1,19.0,2,3,0,26.0,35.0,2,360.0,,205.0,2,0,0,N,0,0,2.0,147.0,3.6,0,0,1,0,0,16.0,215.4068,0,0
33,54,1,1,1,212,1,1120,0,5,5.0,1,1.0,105.0,0.0,,,,,1.0,U,0,8.0,4.0,0,2697.0,0.0,7252.0,1517.0,2251.0,235.0,0.0,33.0,1.0,1,26.0,2,1,0,26.0,37.0,2,360.0,,235.0,2,1,0,N,0,0,2.0,109.0,2.0,0,0,1,0,0,12.0,221.8538,0,0
34,55,1,1,1,144,1,1120,0,5,5.0,1,2.0,56.0,0.0,,,,,1.0,M,0,7.0,2.0,0,1995.0,2799.0,2218.0,2799.0,1424.0,165.0,0.0,31.0,1.0,1,6.0,2,1,0,28.0,34.0,1,360.0,,170.0,2,1,0,Y,0,0,2.0,49.0,4.3,0,0,1,0,0,16.0,223.234,0,0
35,56,1,1,1,90,1,1120,0,5,5.0,1,2.0,42.0,0.0,,9.0,,,1.0,M,2,10.0,0.1,0,3357.0,0.0,3477.0,0.0,1001.0,187.0,0.0,19.0,2.0,1,24.0,2,1,0,28.0,38.0,2,360.0,,190.0,1,0,0,N,0,0,2.0,18.0,3.9,0,1,1,0,0,16.0,270.7136,0,0
36,57,1,1,1,183,1,1120,0,5,5.0,1,2.0,23.0,0.0,,,,,1.0,M,1,17.0,2.0,0,4984.0,175.0,4984.0,175.0,1608.0,266.0,0.0,161.0,1.0,1,28.0,1,1,0,31.0,44.0,1,360.0,,266.0,2,0,0,N,0,0,2.0,802.0,3.1,0,0,1,1,0,16.0,249.0624,0,0
37,64,1,1,1,123,1,1120,1,3,3.0,1,2.0,104.0,3.0,,,,,2.0,M,0,14.0,7.0,0,4594.0,2000.0,4594.0,2000.0,1388.0,137.0,0.0,40.0,2.0,1,28.0,1,2,0,22.0,35.0,1,360.0,,137.0,2,1,0,N,1,0,2.0,123.0,4.3,1,0,1,1,1,12.0,375.8642,0,0
38,65,1,1,1,207,1,1120,0,5,5.0,1,2.0,93.0,0.0,,,,,1.0,M,1,0.3,0.3,0,6250.0,1516.0,6250.0,1516.0,2174.0,230.0,0.0,22.0,1.0,1,26.0,2,1,0,28.0,38.0,1,360.0,,235.0,2,1,0,Y,0,0,2.0,36.0,3.1,0,1,1,0,0,18.0,207.5037,0,0
39,66,1,1,1,149,1,1120,0,5,5.0,1,2.0,53.0,0.0,,,,,1.0,U,0,7.0,6.0,0,1829.0,2250.0,1829.0,2597.0,1538.0,160.0,0.0,14.0,1.0,1,28.0,2,1,0,34.0,37.0,1,360.0,,162.0,2,1,0,N,0,0,1.0,23.0,3.1,0,0,1,0,0,14.0,233.2957,0,0
40,71,1,1,1,103,1,1120,0,5,5.0,1,2.0,43.0,0.0,,,,,1.0,M,0,1.0,1.0,0,1498.0,1878.0,1687.0,1878.0,1033.0,108.0,0.0,12.0,2.0,1,23.0,2,1,0,28.0,37.0,1,360.0,,110.0,2,1,0,N,0,0,1.0,9.0,3.9,0,0,1,0,0,12.0,216.4179,0,0
41,72,1,1,1,54,1,1120,0,5,5.0,1,2.0,44.0,0.0,,,,,1.0,M,2,30.0,30.0,0,2657.0,383.0,2657.0,383.0,792.0,78.0,0.0,46.0,1.0,1,13.0,1,1,0,10.0,41.0,2,360.0,,84.0,1,0,0,N,0,0,2.0,527.0,2.0,0,1,1,1,1,12.0,242.985,0,0
42,74,1,1,1,170,3,1120,0,5,5.0,1,2.0,59.0,,9,7.0,1.0,,1.0,M,0,9.0,9.0,0,3250.0,0.0,3250.0,0.0,1097.0,115.0,0.0,32.0,1.0,1,4.0,2,1,0,34.0,35.0,1,360.0,,115.0,2,1,1,N,0,0,0.0,48.0,3.2,0,1,1,1,0,18.0,197.7294,0,0
43,75,1,1,1,216,3,1120,0,5,5.0,1,2.0,89.0,,3,3.0,,,1.0,M,2,16.0,2.0,0,3300.0,3600.0,3800.0,3600.0,2082.0,300.0,0.0,3.0,1.0,0,17.0,4,3,0,30.0,41.0,1,360.0,,300.0,2,0,0,N,0,0,1.0,88.0,3.2,0,1,1,1,0,16.0,224.3828,0,0
44,81,1,1,1,80,1,1120,0,5,8.0,2,4.0,32.0,9.0,,,,,1.0,U,1,10.0,5.0,0,2033.0,0.0,2683.0,0.0,755.0,115.0,0.0,29.0,1.0,1,7.0,2,6,1,28.0,34.0,2,360.0,MHFA,118.0,2,0,0,N,0,0,1.0,202.0,3.1,0,0,0,0,0,16.0,236.4964,0,0
45,82,1,1,1,135,1,1120,0,5,5.0,1,2.0,75.0,0.0,,,,,1.0,M,0,6.0,2.0,0,2214.0,4775.0,2214.0,4775.0,1335.0,151.0,0.0,18.0,1.0,1,16.0,2,2,0,19.0,29.0,1,360.0,,150.0,2,1,0,N,0,0,1.0,40.0,3.2,0,0,1,0,0,16.0,234.1752,0,0
46,85,1,1,1,136,3,1120,0,5,5.0,1,2.0,64.0,,,3.0,,,1.0,M,0,18.0,18.0,0,2166.0,2210.0,3087.0,2210.0,1397.0,170.0,0.0,17.0,1.0,0,14.0,2,6,1,26.0,27.0,2,360.0,,170.0,2,0,0,N,0,0,1.0,32.0,3.2,0,1,1,1,0,16.0,220.2847,0,0
47,86,1,1,1,111,1,1120,1,3,3.0,2,1.0,56.0,1.0,,,,,1.0,U,0,11.0,11.0,0,2600.0,1362.0,2600.0,1362.0,1581.0,128.0,0.0,18.0,2.0,1,28.0,2,1,0,27.0,37.0,2,360.0,,130.0,2,1,0,N,0,0,2.0,21.0,3.2,1,1,1,1,1,14.0,322.9088,0,0
48,87,1,1,1,138,3,1120,0,5,8.0,1,4.0,57.0,,,2.0,7.0,,1.0,M,3,20.0,20.0,1,4000.0,0.0,4735.0,0.0,1428.0,186.0,0.0,64.0,1.0,1,3.0,2,1,0,30.0,34.0,2,360.0,,186.0,2,1,0,N,0,1,1.0,416.0,3.9,0,0,1,1,0,12.0,207.5142,0,0
49,95,1,1,1,100,1,1120,0,5,5.0,1,2.0,43.0,3.0,,,,,1.0,U,1,4.0,4.0,0,2038.0,4027.0,2038.0,4027.0,967.0,138.0,0.0,106.0,2.0,1,28.0,1,2,0,15.0,36.0,2,360.0,,148.0,2,0,0,N,1,0,2.0,471.0,3.1,0,1,1,0,0,12.0,220.4947,0,0
50,96,1,1,1,112,1,1120,0,5,8.0,2,4.0,42.0,0.0,,,,,1.0,U,1,14.0,14.0,0,3541.0,0.0,3541.0,0.0,1119.0,174.0,0.0,94.0,1.0,1,7.0,3,5,0,32.0,34.0,2,360.0,,174.0,2,0,0,Y,0,0,2.0,-41.0,3.2,0,0,0,1,1,19.0,256.8,0,0
51,97,1,1,1,160,1,1120,0,5,5.0,1,2.0,91.0,3.0,,,,,1.0,M,0,6.0,1.0,0,3333.0,4288.0,3333.0,4288.0,1565.0,168.0,0.0,14.0,1.0,1,24.0,2,1,0,21.0,27.0,2,360.0,,170.0,2,1,0,N,0,0,1.0,8.0,2.0,0,1,1,0,1,19.0,238.4564,0,0
52,100,1,1,1,115,1,1120,0,5,5.0,1,1.0,174.0,3.0,,,,,1.0,U,0,4.0,4.0,0,3034.0,11363.0,3034.0,11363.0,1202.0,145.0,0.0,23.0,1.0,1,24.0,1,1,0,8.0,16.0,2,360.0,,157.0,2,0,0,N,0,0,1.0,77.0,3.2,0,0,1,0,1,16.0,222.5091,0,0
53,103,1,1,1,148,1,1120,0,5,8.0,1,4.0,64.0,1.0,,,,,1.0,U,0,7.0,7.0,0,4982.0,0.0,4982.0,0.0,1421.0,162.0,0.0,11.0,1.0,1,13.0,2,1,0,28.0,39.0,2,360.0,,162.0,2,1,0,N,0,0,1.0,65.0,3.1,0,0,1,0,0,12.0,246.1657,0,0
54,105,1,1,1,29,1,1120,0,5,5.0,1,2.0,61.0,3.0,,,,,1.0,M,0,6.0,2.0,0,3000.0,2048.0,3000.0,2048.0,1336.0,140.0,0.0,15.0,1.0,1,10.0,2,5,0,26.0,36.0,2,360.0,,140.0,2,1,0,N,0,0,1.0,56.0,3.2,0,1,1,0,1,17.0,263.9199,0,0
55,109,1,1,1,114,2,1120,0,5,8.0,1,4.0,48.0,,,,,,1.0,M,1,11.0,11.0,0,4009.0,0.0,4796.0,0.0,1160.0,119.5,0.0,9.0,1.0,0,10.0,2,1,1,26.5,31.4,2,360.0,,122.0,2,1,0,N,0,0,1.0,37.0,3.2,0,1,1,1,1,16.0,245.9583,0,0
56,111,1,1,1,131,1,1120,0,5,5.0,1,2.0,48.0,8.0,,,,,1.0,M,2,11.0,9.0,0,2716.0,0.0,4038.0,0.0,1626.0,145.0,0.0,34.0,1.0,1,13.0,2,1,1,28.0,34.0,2,360.0,,145.0,2,1,0,N,0,0,2.0,53.0,3.9,0,1,1,0,1,14.0,184.8615,0,0
57,112,1,1,1,111,1,1120,0,5,5.0,1,2.0,44.0,8.0,,,,,1.0,U,0,15.0,1.0,0,1871.0,1777.0,1871.0,1777.0,1211.0,119.0,0.0,18.0,2.0,1,28.0,2,2,0,28.1,33.2,2,360.0,,123.0,2,1,0,N,0,0,2.0,65.0,10.6,0,0,1,0,0,16.0,216.4179,0,0
58,113,1,1,1,100,1,1120,0,5,8.0,2,4.0,38.0,8.0,,,,,1.0,U,0,15.0,15.0,1,3166.0,0.0,3225.0,0.0,1131.0,156.0,0.0,69.0,2.0,1,11.0,1,1,0,33.0,33.0,2,360.0,,157.0,2,0,0,N,0,0,3.0,170.0,4.3,0,0,1,0,1,14.0,179.4484,0,0
59,115,1,1,1,70,1,1120,1,5,8.0,1,4.0,33.0,8.0,,,,,1.0,U,0,14.0,14.0,0,2718.0,0.0,2718.0,0.0,840.0,87.0,0.0,31.0,2.0,1,16.0,2,1,0,27.2,39.9,1,360.0,,91.0,1,0,0,N,0,0,1.0,38.0,10.6,0,0,1,0,1,14.0,270.3711,0,0
60,116,1,1,1,150,1,1120,1,5,5.0,1,2.0,58.0,8.0,,,,,1.0,M,0,4.0,0.6,0,2450.0,2223.0,2620.0,2223.0,1603.0,195.0,0.0,93.0,2.0,1,39.0,2,1,0,32.2,34.2,2,360.0,,200.0,2,0,0,N,0,0,1.0,73.0,3.2,0,1,1,0,0,20.0,279.7201,0,0
61,117,1,1,1,156,1,1120,0,5,8.0,2,4.0,72.0,8.0,,,,,1.0,U,0,17.0,17.0,0,5083.0,0.0,6000.0,0.0,1818.0,195.0,0.0,17.0,1.0,1,18.0,1,2,0,27.8,37.6,1,360.0,,195.0,1,0,0,N,0,0,1.0,125.0,3.2,0,1,1,1,0,13.0,279.59,0,0
62,118,1,1,1,120,1,1120,0,5,5.0,1,2.0,59.0,8.0,,,,,1.0,M,0,4.0,4.0,0,2583.0,2358.0,2583.0,2358.0,1341.0,134.0,0.0,31.0,1.0,1,15.0,2,1,0,25.1,32.1,2,360.0,,135.0,1,1,0,N,0,0,2.0,69.0,4.3,0,1,1,0,0,12.0,266.1145,0,0
63,120,1,1,1,100,1,1120,0,5,5.0,1,2.0,59.0,8.0,,,,,1.0,M,2,5.0,5.0,0,2340.0,2546.0,2340.0,2546.0,1116.0,125.0,25.0,3.0,1.0,1,14.0,2,1,0,20.8,27.9,1,360.0,,133.0,2,0,0,Y,0,0,1.0,27.0,5.3,0,0,1,0,0,14.0,216.4179,0,0
64,121,1,1,1,135,1,1120,0,5,5.0,1,2.0,65.0,8.0,,,,,1.0,M,2,12.0,12.0,0,3480.0,1950.0,3480.0,1950.0,1433.0,150.0,0.0,13.0,3.0,1,12.0,2,2,0,24.6,31.7,1,360.0,,151.0,2,1,0,N,0,0,1.0,48.0,3.2,0,0,1,1,1,18.0,215.1557,0,0
65,123,1,1,1,130,1,1120,0,3,5.0,1,2.0,66.0,8.0,,,,,1.0,M,3,10.0,10.0,1,3333.0,1333.0,3333.0,2166.0,1525.0,162.0,0.0,80.0,2.0,1,9.0,2,1,0,26.0,28.5,2,360.0,,200.0,2,0,0,N,0,0,1.0,103.0,3.9,0,0,1,1,1,12.0,258.8249,0,0
66,124,1,1,1,142,1,1120,0,5,5.0,1,2.0,69.0,8.0,,,,,1.0,M,0,11.5,11.5,0,2600.0,2548.0,3168.0,2548.0,1724.0,150.0,0.0,17.0,1.0,1,14.0,2,2,0,24.0,36.5,2,360.0,,151.0,2,1,0,N,0,0,3.0,30.0,3.1,0,0,1,0,1,17.0,215.1557,0,0
67,125,1,1,1,100,1,1120,0,5,5.0,2,1.0,36.0,8.0,,,,,1.0,M,0,5.0,1.0,0,3000.0,3000.0,3000.0,3000.0,1985.0,234.0,0.0,98.0,1.0,1,18.0,1,4,0,31.4,33.7,2,360.0,,235.0,2,0,0,N,0,0,1.0,251.0,3.2,0,0,1,0,0,16.0,247.8925,0,0
68,126,1,1,1,76,1,1120,0,5,8.0,2,4.0,34.0,8.0,,,,,1.0,U,0,19.0,4.0,0,2851.0,0.0,2851.0,0.0,966.0,112.0,0.0,58.0,1.0,1,9.0,1,1,0,27.0,35.0,1,360.0,,112.0,1,0,0,N,0,0,2.0,223.0,3.2,0,1,1,1,0,18.0,266.1145,0,0
69,127,1,1,1,115,1,1120,1,5,8.0,2,4.0,55.0,8.0,,,,,1.0,U,0,6.0,3.0,0,4547.0,0.0,4547.0,0.0,1462.0,129.0,0.0,35.0,1.0,1,15.0,2,2,0,28.9,35.2,1,360.0,,130.0,1,1,0,N,0,0,1.0,47.0,3.2,0,0,0,0,1,20.0,270.9677,0,0
70,128,1,1,1,139,1,1120,0,5,5.0,2,1.0,63.0,8.0,,,,,1.0,M,0,6.0,4.0,0,2929.0,2333.0,2929.0,2333.0,1556.0,146.0,0.0,27.0,1.0,1,23.0,1,1,0,28.0,35.0,2,360.0,,148.0,2,1,0,N,0,0,1.0,61.0,3.2,0,1,1,0,0,18.0,209.7944,0,0
71,129,1,1,1,74,1,1120,0,5,5.0,1,2.0,38.0,8.0,,,,,1.0,M,3,6.0,5.5,0,2795.0,0.0,3173.0,0.0,897.0,78.0,0.0,40.0,1.0,1,11.0,2,1,0,25.1,34.4,2,360.0,,82.0,2,1,0,N,0,0,1.0,68.0,3.1,0,0,1,0,0,12.0,178.5828,0,0
72,131,1,1,1,110,1,1120,0,5,8.0,1,4.0,48.0,8.0,,,,,1.0,U,0,15.0,2.5,0,4041.0,0.0,4041.0,0.0,1289.0,149.0,0.0,51.0,1.0,1,5.0,2,1,0,28.0,28.0,1,360.0,,149.0,2,0,0,N,0,0,1.0,81.468,3.2,0,1,1,0,1,12.0,218.8941,0,0
73,133,1,1,1,170,1,1120,0,5,5.0,1,2.0,98.0,8.0,,,,,1.0,M,0,10.0,10.0,0,8125.0,0.0,8125.0,0.0,1931.0,189.0,0.0,23.0,1.0,1,35.0,2,2,0,22.5,37.8,2,360.0,,189.0,2,1,0,N,0,0,2.0,89.0,4.3,0,1,1,1,1,16.0,270.0151,0,0
74,134,1,1,1,80,2,1120,0,5,5.0,1,2.0,57.0,,,,,,1.0,M,1,7.0,0.1,0,1516.0,2900.0,1516.0,2900.0,1016.0,100.0,0.0,38.0,1.0,0,18.0,2,2,0,19.4,25.8,1,360.0,,118.0,2,0,0,N,0,0,1.0,51.0,5.3,0,1,1,0,0,16.0,220.4212,0,0
