price,year,age,beds,baths,home_size,parcel_size,pool,dist_cbd,dist_lakes,x_coord,y_coord
80727,2004,25,3,1.0,1116,6827,0,6936.72,2141.35,515734.4,1518712
198100,2004,1,3,2.0,1532,5000,0,14052.88,3569.13,579468.3,1519473
94251,2003,31,3,1.5,1611,7813,0,9129.24,2718.05,516726.8,1507228
156028,2002,1,4,2.5,1813,5500,0,13486.99,545.14,491007.2,1537284
170310,2004,0,3,2.0,1694,8451,0,19675.69,3737.79,544147.3,1467208
130677,2000,16,4,2.0,1853,11432,0,13259.51,77.87,572899.9,1552191
312920,2004,0,4,4.0,2802,12304,1,15979.87,1571.4,586396.0,1521500
215403,2001,0,3,2.0,2665,10679,0,16737.18,367.5,479924.3,1529670
172008,2003,12,5,2.5,2474,10787,0,12999.55,196.43,494641.7,1545401
95400,2000,12,3,2.0,1835,11740,0,8801.88,920.26,509570.7,1545102
108294,2003,14,3,2.5,1175,4941,0,10339.68,2479.92,559457.5,1507745
115346,2000,0,3,3.5,2460,6635,0,1573.2,94.56,539781.6,1529613
328032,2000,0,3,3.5,3706,12195,1,14588.94,217.19,491398.7,1551239
51880,2004,44,3,2.0,1298,6750,0,2945.25,85.37,529432.7,1523083
226846,2002,5,4,3.0,2706,14454,1,19980.83,1008.63,469904.7,1540269
248011,2002,0,4,3.5,3268,12357,0,19588.23,391.1,477097.6,1502829
292776,2000,0,4,4.0,3247,10301,0,20666.04,2203.24,602243.3,1523578
174513,2001,0,5,3.0,2170,5750,0,21451.07,1733.42,604324.7,1519795
419929,2002,35,4,2.5,2758,20881,1,7697.95,27.79,544623.5,1507806
129273,2003,0,3,2.0,1561,6176,0,24545.95,733.59,614854.3,1540416
106985,2000,1,3,2.0,1592,14499,0,28102.75,181.93,599855.4,1465682
186737,2002,0,4,2.0,2032,11342,0,10582.46,48.04,517722.5,1561320
98353,2001,16,3,2.0,1096,5668,0,12146.03,1713.41,574538.6,1534672
179101,2000,0,4,3.0,2153,6877,0,14916.01,2708.93,582528.1,1520054
174535,2004,29,3,1.5,992,10095,0,2977.21,702.48,529063.4,1538981
102555,2004,34,2,1.0,1049,16002,0,7022.68,778.37,557032.1,1537308
629705,2003,0,4,3.5,3209,6294,0,5666.51,246.08,548783.5,1543399
181429,2003,23,2,1.0,1074,6000,1,4577.33,653.25,538467.4,1545675
140005,2004,24,2,2.0,1680,8508,0,15530.55,2678.3,511537.7,1485764
334808,2000,5,3,3.0,4184,21213,0,5522.14,29.35,530786.8,1548872
97477,2001,1,3,2.0,1246,3240,0,20551.52,5714.88,536255.8,1463663
112001,2003,0,3,2.0,1346,5501,0,19005.56,1290.73,472463.5,1531864
135627,2003,1,3,2.5,1667,1920,0,19820.92,4086.44,542532.6,1466503
321455,2004,0,4,3.0,3037,10157,0,17284.51,1297.56,571732.1,1488009
79137,2000,15,3,2.0,1052,6265,0,8111.32,1715.5,520633.0,1508582
108450,2003,23,4,2.0,1113,7699,0,9378.25,1776.04,555957.1,1508709
156085,2004,19,3,2.0,1504,10805,0,17004.04,1341.63,590634.2,1530114
301388,2001,0,4,3.0,2976,50778,1,25338.98,1222.0,489155.4,1600589
644085,2003,0,5,4.5,5115,19289,1,17438.98,463.65,493276.3,1491747
146859,2000,8,4,2.5,1946,5250,1,18442.19,5426.14,520788.9,1472224
154729,2003,11,4,3.0,2623,9993,1,30462.98,2132.17,634102.0,1519183
128474,2004,12,3,2.0,1551,6080,0,9379.33,1609.55,565539.1,1533279
223132,2000,2,4,3.0,2453,9569,1,22711.67,3920.67,509950.5,1460836
84954,2004,19,3,2.0,1096,8084,0,4654.43,1208.13,520517.0,1536417
296781,2000,0,4,4.0,3252,13170,0,11964.03,167.35,498059.2,1517342
132590,2000,0,3,2.0,1547,8704,0,21126.05,1819.79,603493.1,1521425
230374,2003,0,4,2.0,2168,6425,0,16424.52,435.47,481214.7,1525587
68580,2002,33,3,1.5,908,7156,0,6957.54,290.46,513260.8,1538574
179734,2002,2,3,2.5,2339,6675,0,20122.2,783.1,600868.6,1530073
67247,2000,38,3,1.5,1025,9016,1,8709.03,1341.6,563377.3,1529552
116723,2000,50,2,1.0,905,8137,0,2751.88,454.42,528782.5,1537800
79383,2000,15,3,2.0,1599,7538,0,7577.78,1151.5,522956.0,1509249
225711,2002,0,5,3.5,2900,11993,0,19780.49,347.9,476465.9,1502684
130387,2000,16,2,2.0,1430,6778,0,6799.41,68.2,553268.6,1518519
95161,2000,11,3,2.0,1345,5014,0,15958.86,3900.73,520963.7,1480592
88766,2000,40,3,2.0,1101,7132,0,7731.66,1099.67,511976.8,1542114
172025,2004,37,4,2.0,2366,13580,1,8983.21,2140.85,563834.3,1525774
121814,2003,5,3,2.0,1264,7669,0,16096.11,901.54,485416.9,1549762
78975,2001,4,3,2.0,1052,3800,0,11183.85,2781.13,571501.6,1532805
124552,2003,3,3,2.0,1540,4508,0,12092.5,3986.88,565696.6,1506143
168218,2004,0,4,3.0,1905,6000,0,21397.37,1729.67,585126.7,1482083
87848,2002,18,2,2.0,1064,6400,0,17096.21,3335.8,514194.3,1478924
72103,2001,41,3,1.0,1435,8247,0,9764.71,1156.15,529856.5,1499440
103978,2004,20,3,2.0,1305,8100,0,10569.28,1051.61,524071.3,1564073
102207,2000,14,3,2.0,1240,7500,0,13151.68,4828.89,572173.6,1509441
126791,2004,45,3,2.0,1530,9921,0,20680.5,368.98,467605.8,1540409
197216,2002,37,4,2.0,1748,7801,1,8433.33,1956.4,556110.1,1548803
145635,2004,16,4,2.5,2002,11618,0,13945.34,199.2,579879.6,1539210
362600,2000,0,4,3.0,2905,13287,1,20065.06,620.77,479699.4,1495091
172640,2003,0,4,3.0,2416,6639,0,20917.29,8133.82,528185.7,1462771
29591,2005,35,2,1.0,816,18892,0,20459.3,1249.02,601456.1,1539492
126611,2001,0,3,2.0,1616,4889,0,12215.06,302.82,513443.9,1565002
161647,2000,8,4,3.0,2366,7774,0,17422.32,739.45,591843.6,1526665
154156,2004,15,3,2.0,1414,7947,0,17537.51,3239.45,514029.1,1477433
172652,2003,0,4,2.0,1950,5956,0,22749.29,118.64,609015.1,1522615
123615,2004,3,3,2.0,1217,6302,0,16992.62,765.85,496700.7,1571798
153461,2004,0,3,2.5,1480,2403,0,22330.12,166.55,473619.9,1490806
205146,2004,2,4,2.0,1814,6001,0,12572.32,4313.98,568580.7,1507352
90873,2000,43,3,3.0,2355,10351,1,4424.18,271.31,547633.1,1524237
122406,2001,0,3,2.0,1530,9378,0,19017.63,323.54,474896.3,1548499
134765,2000,17,3,2.0,1880,9610,0,17462.99,142.23,508222.7,1581863
72984,2003,30,2,2.0,975,9092,0,8242.35,766.72,507802.8,1532062
170479,2005,12,3,2.0,1597,4999,0,18049.41,1347.06,593908.8,1526681
161136,2005,25,3,2.0,1680,12586,1,11404.26,99.99,568961.9,1546471
173948,2004,0,4,2.0,2000,8855,0,19526.03,3706.37,544606.1,1467763
114915,2002,3,3,2.0,1309,4663,0,10217.81,2158.16,565559.5,1517672
71372,2000,55,3,1.0,1400,7422,0,5186.38,384.51,527855.1,1515574
88820,2004,39,3,2.0,1107,9036,0,7847.8,1323.2,509933.0,1537670
126311,2002,0,3,2.0,1341,2069,0,19803.23,3885.9,543325.3,1466661
176244,2002,0,4,2.0,2059,11171,0,19823.98,255.49,475791.3,1503773
228917,2004,19,3,2.0,1619,7342,1,15614.89,248.45,497462.0,1496034
177053,2004,0,4,2.0,2000,7121,0,18925.16,971.26,577268.9,1485740
128847,2001,0,3,2.0,1871,5500,0,19991.59,777.65,599903.7,1539531
130969,2002,26,2,2.0,1098,4541,0,3605.27,145.88,541532.7,1521342
178284,2002,2,3,2.0,2464,21234,0,24099.87,556.57,455840.1,1535042
149631,2002,12,3,2.0,1771,11702,1,17032.72,5405.31,529919.1,1475414
85940,2003,43,2,1.0,1400,9690,0,11615.12,321.14,514283.0,1563202
75426,2000,19,2,2.0,1554,9486,0,14982.91,3595.75,515655.1,1485820
239440,2005,55,2,1.0,1377,6756,0,3619.86,435.43,527923.9,1540760
101125,2001,14,3,2.0,1371,8635,0,9440.71,2968.7,515636.8,1506779
121409,2002,10,3,2.0,1652,7359,0,14711.39,910.72,504036.0,1568280
89687,2001,10,3,2.0,1377,6342,0,9073.15,2263.4,563619.6,1523476
135039,2000,0,4,2.5,2733,5795,0,19313.66,7635.85,529806.6,1467911
294208,2005,24,3,2.0,2118,43579,0,14459.47,257.33,488969.2,1518923
86845,2000,8,3,2.0,1232,6844,0,9200.19,519.72,504789.4,1528115
191115,2001,3,5,3.0,2890,13309,0,18271.82,1529.62,594446.4,1524561
120505,2000,4,3,2.0,1425,6372,0,19127.13,5040.08,519052.6,1470340
112011,2002,13,3,2.0,1244,5000,0,15947.17,3901.35,520575.9,1480740
92245,2001,18,3,2.0,1210,8252,0,11590.22,607.27,497383.3,1537746
235989,2000,3,4,3.0,2690,11875,1,30038.73,2449.95,632568.7,1518154
78223,2001,28,3,2.0,2400,56516,0,26636.02,2622.65,622016.3,1537548
222052,2004,6,4,3.0,2455,6835,1,17417.18,511.63,507058.4,1581057
208663,2005,3,4,2.0,1813,6177,1,21185.06,1716.32,603767.3,1522002
128970,2001,14,4,2.0,1755,10762,1,12098.8,655.52,502438.1,1554060
162312,2001,3,3,2.0,1772,5440,1,19666.59,1177.5,599365.5,1532524
196868,2004,13,4,3.0,2321,8001,0,17736.63,1419.41,593007.4,1528947
86583,2002,7,3,2.0,1206,5865,0,9840.79,350.6,509653.0,1551319
193622,2001,0,6,4.0,3541,7075,0,18854.38,7146.68,529353.0,1469462
238925,2004,8,4,2.0,2238,10441,1,19097.09,1710.66,597511.3,1530775
90715,2003,16,2,1.0,896,7918,0,7294.82,572.11,540862.9,1554268
86078,2002,4,3,2.0,1379,8343,0,20527.71,531.09,600385.6,1546659
215115,2000,0,4,3.0,2574,12164,0,9754.04,406.36,549530.9,1502657
112598,2000,0,3,2.0,1250,6700,0,18266.69,2023.53,593868.6,1520645
107730,2001,0,3,2.0,1515,6060,0,23252.62,72.27,487468.3,1590932
105084,2000,11,3,2.5,1460,6889,0,16783.07,4798.02,525275.7,1476849
173061,2004,10,4,2.0,1901,6137,0,18013.06,1485.96,593878.1,1528094
229748,2003,14,4,2.5,2479,10196,1,12113.35,4580.14,574010.3,1524322
223331,2004,0,3,2.0,2929,7609,0,19293.84,1171.75,598027.8,1535154
78541,2002,42,3,1.0,1177,8789,0,11476.56,1561.98,571730.9,1538685
92107,2001,53,2,1.0,670,10920,0,4967.63,292.24,532902.8,1547286
72819,2003,18,2,1.5,1144,1901,0,21330.25,1153.84,464833.5,1531630
83185,2004,22,2,2.0,1323,2485,0,23221.05,495.19,485628.3,1589286
180216,2004,17,4,2.0,2079,12584,0,19059.34,459.12,505063.8,1586106
156279,2000,0,4,2.0,2072,6670,0,20127.41,788.28,600884.8,1530013
180152,2001,41,3,2.0,1259,6998,0,2664.32,114.11,535518.9,1522380
162466,2004,12,4,2.0,1913,11260,0,11850.98,615.02,496442.7,1537318
177238,2002,0,4,2.5,2271,5499,0,22172.24,1428.38,603695.9,1554626
250251,2000,0,4,2.0,1838,6820,1,21986.29,414.8,490272.8,1587850
204453,2002,0,3,3.0,3657,8589,0,21065.2,115.34,603971.4,1531133
429247,2002,0,3,4.0,3129,6572,1,2710.11,85.86,532568.2,1539698
253334,2002,5,3,2.0,2640,9262,1,9912.19,39.92,548366.8,1501514
153220,2002,12,3,2.0,2319,11000,0,12288.35,238.5,500235.5,1551817
141424,2000,18,4,2.5,2025,15230,1,10731.39,3534.94,569031.9,1522665
150716,2003,12,3,2.0,1704,8626,0,18116.99,5412.1,520892.3,1473297
117585,2002,8,3,2.0,1178,4454,0,16444.09,4426.43,524691.1,1478093
101505,2003,34,3,2.0,1355,8795,0,9816.31,1770.86,503620.6,1539066
123853,2004,21,3,2.0,1432,8443,0,10936.02,418.63,505222.5,1551376
217813,2000,0,5,4.0,2972,13268,1,17868.0,332.44,476508.2,1525040
117683,2005,16,2,2.0,1066,5144,0,10409.26,2532.92,559794.3,1507770
97118,2003,21,3,2.0,1032,8040,0,9745.74,1433.93,561922.9,1514087
159239,2000,3,3,2.0,1820,11470,0,18982.42,361.43,474460.9,1546461
98295,2000,14,3,2.0,1318,7487,0,7614.66,1182.75,522504.1,1509361
176259,2004,0,4,2.0,1825,6250,0,19912.08,220.18,469597.1,1527347
221370,2002,0,4,3.0,3557,11254,0,16770.16,2538.25,588148.9,1517421
249418,2003,0,5,2.5,3735,8458,1,14043.86,358.02,490232.6,1542713
187911,2005,6,3,2.5,1837,4891,0,20443.05,5331.81,537586.0,1464061
289715,2000,0,5,3.0,2910,12766,1,21854.29,4005.12,511153.2,1463396
156326,2001,8,4,2.0,2246,7875,0,19130.13,5708.8,521185.7,1469815
65273,2000,19,3,2.0,1176,23004,0,9988.06,947.55,566338.0,1540164
151757,2005,45,2,1.0,876,6395,0,7735.64,423.25,539685.8,1556018
338917,2000,0,4,3.0,3010,12484,1,21697.62,3951.81,511109.8,1463956
163067,2004,0,3,2.0,1614,8009,0,22278.53,475.54,462319.6,1521747
310869,2004,0,5,4.0,3238,10668,1,18156.63,396.69,508098.8,1584343
54585,2002,34,2,1.0,863,12347,0,9847.85,551.05,521907.9,1560719
157868,2000,6,3,2.0,1814,12838,0,20945.54,519.33,497626.0,1588897
170362,2002,12,3,2.0,1904,10740,1,12113.7,331.62,495360.7,1535815
188125,2001,13,4,2.0,1865,24150,1,12929.79,227.11,492888.2,1524689
135833,2003,0,3,2.0,1908,15891,0,6429.17,366.52,535845.6,1510021
165642,2001,8,4,2.5,1812,7932,0,16601.19,756.42,480468.8,1527533
121050,2003,5,3,2.0,1292,4197,0,17721.03,1493.02,592753.7,1536401
133337,2002,0,3,2.0,1855,10748,0,21095.9,692.19,600296.3,1553650
84778,2003,42,4,2.0,1804,14762,0,6498.07,182.3,556151.8,1531782
167109,2004,11,3,2.0,1760,6717,0,18011.41,1292.62,593767.0,1526462
173124,2001,0,4,2.0,2021,6675,1,21248.33,3290.47,509403.6,1466165
81772,2002,37,2,1.0,892,7753,0,4588.22,767.88,537007.3,1545999
89472,2000,9,3,2.0,1130,6934,0,14290.03,1514.34,581706.7,1532744
391721,2000,0,5,4.0,4093,16814,1,8671.7,112.24,546447.6,1557081
123889,2001,33,4,2.0,2128,12217,0,9973.29,1791.5,558221.8,1554000
174943,2002,1,4,2.0,2276,8051,0,9789.32,299.07,502958.7,1527094
631552,2004,24,3,2.0,2288,14649,0,8562.28,46.76,548554.2,1555623
198097,2003,0,4,3.0,2082,8252,0,13805.34,4899.22,569802.9,1502284
170715,2000,13,4,3.0,2391,23015,1,7380.98,26.55,553604.7,1515801
105836,2001,3,4,2.0,1385,7847,0,15772.97,419.17,498912.4,1568370
551679,2003,5,4,4.0,3468,25747,1,11783.0,52.36,500056.9,1514190
74635,2004,44,3,1.5,1399,6805,0,3540.47,514.96,530589.5,1520282
139725,2001,2,4,2.5,1892,8204,0,21101.44,5520.99,536717.7,1461869
121682,2000,21,3,2.0,1779,9244,0,5634.55,517.87,541165.7,1513722
181765,2001,0,3,2.0,2288,6308,0,20084.97,729.15,600753.9,1530858
236648,2004,3,4,2.0,2315,7870,0,20266.37,770.45,601330.7,1529508
206292,2003,14,3,2.0,1391,8445,0,3302.58,341.78,542347.8,1538912
112897,2001,0,3,2.0,1365,4400,0,23784.72,224.99,457646.3,1519371
215349,2004,0,3,2.0,2164,7994,0,21913.76,1272.3,606552.6,1525688
193728,2002,0,4,2.0,2165,8789,1,12982.0,4766.38,569059.4,1505729
142844,2004,18,3,1.0,1072,6280,1,4503.0,415.99,544980.5,1520350
153878,2004,2,3,2.0,1900,7866,0,23751.83,293.32,479093.2,1585589
219360,2001,8,4,2.0,2294,9983,1,21352.61,5116.73,515579.4,1463717
28325,2000,55,1,1.0,924,17738,0,9920.34,538.55,515913.6,1557592
133297,2002,23,3,2.0,1286,11972,0,5807.24,23.31,549035.1,1518384
131950,2002,3,3,2.0,1674,6157,0,11446.33,3273.47,564873.2,1508542
120596,2004,0,3,2.0,1330,7190,0,12753.95,2344.79,538590.8,1489408
293928,2002,13,3,3.0,2084,15924,1,5069.47,403.44,546326.0,1543131
159007,2001,9,3,2.0,2082,8735,0,17220.9,609.94,591203.3,1526964
189318,2004,9,4,2.5,1882,5002,0,17119.48,377.83,590720.4,1525287
217007,2002,6,3,2.0,2097,6635,1,20314.25,6691.01,522951.4,1465495
401978,2004,0,4,2.5,3097,12182,0,22617.92,45.92,461100.1,1539653
352991,2002,10,4,3.0,2884,14543,1,18183.45,488.62,493602.9,1487956
137928,2000,2,3,2.5,1745,6720,0,19179.64,2004.2,597686.4,1527610
141485,2001,0,4,2.5,2208,10572,0,15981.58,3127.26,585164.8,1516328
313894,2005,3,5,4.5,2818,8088,0,20901.57,3116.35,509811.9,1467227
170317,2001,1,4,2.5,2450,7707,0,14498.82,2208.01,582273.1,1527350
122513,2000,0,4,2.0,1929,6798,0,19448.28,7752.08,529583.1,1467490
110210,2000,2,4,2.5,1144,4558,0,12653.21,571.77,574821.3,1542310
297603,2003,0,4,3.5,1996,6344,0,16112.68,177.54,496778.9,1494382
150208,2003,8,4,2.0,1696,10232,0,10576.91,458.25,500135.2,1530196
117989,2000,0,3,2.0,1648,11030,0,15014.21,411.19,485994.1,1537620
121409,2002,13,3,2.0,1550,10798,0,29590.98,1798.38,631383.9,1520603
240475,2003,28,4,2.5,1674,9008,0,1888.15,175.45,538745.5,1535906
157480,2001,0,4,2.0,1920,9403,0,21037.92,1869.63,603269.0,1521919
96228,2000,0,3,2.0,1246,2340,0,20497.91,6076.01,535082.1,1463825
214718,2004,0,4,3.5,2628,6347,0,23189.29,553.86,469136.3,1492684
143668,2004,0,3,2.5,1284,1972,0,20219.54,638.64,468496.3,1529486
113576,2000,0,4,2.5,2135,9364,0,21807.97,836.78,603260.6,1552093
107410,2001,0,4,2.0,1483,5501,0,19551.4,1827.02,470778.4,1534833
238994,2002,10,3,2.5,1908,4872,0,2306.87,254.42,537326.1,1523948
152886,2001,2,3,2.0,1738,6635,1,19883.02,7915.14,527626.0,1466242
83460,2003,48,3,3.0,1744,13785,0,9508.85,563.68,516348.8,1556240
147912,2004,0,4,2.5,1404,1705,0,13493.87,5078.65,570068.1,1504261
183042,2004,3,3,2.0,1610,5715,0,21159.62,3447.43,510232.5,1466157
166837,2004,0,3,2.5,1495,2982,0,22454.94,211.54,464066.8,1510536
123964,2004,1,3,2.0,1134,6429,0,7019.43,1366.4,512307.7,1526283
197243,2002,0,4,2.5,2727,13585,1,21562.3,166.87,605600.3,1531703
150283,2003,11,3,2.0,1673,6601,1,13509.29,3202.19,578847.2,1525730
183971,2000,0,4,3.0,2158,8002,1,14647.43,433.78,492148.0,1553203
333811,2001,4,4,3.0,2761,15511,1,17230.79,318.22,494551.3,1491410
289203,2002,4,4,4.0,3224,13888,1,20124.42,1359.22,600782.8,1527445
188408,2004,6,3,2.0,1180,3413,0,3181.85,797.03,534905.8,1541540
75365,2000,36,3,2.0,1336,8706,0,5375.93,495.63,518236.8,1537077
152257,2003,10,3,2.0,1739,13540,0,13391.01,78.41,571830.5,1554824
118803,2001,13,4,3.0,1520,9445,0,9488.77,767.43,503719.5,1530062
176209,2004,1,3,2.0,2305,16137,0,21646.4,265.83,486063.6,1582750
145635,2004,11,3,2.0,1212,5623,1,19634.68,5958.55,521453.0,1468063
77832,2004,19,3,1.0,1203,6243,0,18470.07,814.34,491576.8,1573561
255691,2001,0,4,3.0,2748,9389,1,19869.92,1144.12,600020.8,1529196
110051,2002,4,3,2.0,1264,5499,0,12857.9,187.04,504946.9,1560886
131285,2003,10,3,2.0,1520,7500,0,21600.51,163.93,483916.3,1580425
157577,2003,19,3,2.0,1716,12240,0,5367.84,78.14,530342.2,1514063
103734,2003,9,3,2.0,1050,3760,0,11657.81,1801.12,572532.5,1537644
95337,2005,43,3,1.0,1066,7736,1,4259.24,863.94,521398.9,1534949
228052,2003,0,4,2.0,2579,12646,0,26076.32,1119.85,485612.2,1601113
181126,2004,7,3,2.0,1796,5499,0,19185.72,4963.11,518751.2,1470220
164751,2003,5,3,2.0,1637,8015,0,10229.98,101.08,547629.8,1500060
243051,2001,0,4,2.0,2227,8099,1,14450.4,2263.09,582127.3,1527527
49614,2000,0,3,2.0,1351,6975,0,18772.46,456.04,496320.6,1579183
107083,2001,10,3,2.0,1172,7496,0,16929.66,5050.85,527008.3,1476088
108779,2003,30,4,2.0,1810,10049,0,9236.07,1774.6,504960.1,1536221
113835,2005,39,3,1.5,1714,21174,0,10184.15,2991.84,567952.3,1526570
394837,2004,0,4,4.0,3509,11100,1,20360.34,307.7,468229.7,1525741
105760,2004,34,2,1.0,1177,6001,0,10840.55,254.32,567324.9,1545599
136741,2003,15,3,2.0,1697,11209,0,11425.22,616.47,497419.0,1528655
95203,2000,5,3,2.0,1370,2002,0,21131.9,5009.04,538398.1,1461835
93221,2002,0,3,2.0,1092,6278,0,10391.92,885.46,512154.8,1556568
245190,2003,2,4,4.0,2714,10097,1,13744.98,211.42,489734.8,1530210
101013,2002,5,4,2.0,1420,5954,0,7583.37,1040.79,510272.5,1527092
292398,2005,3,4,3.5,2735,6299,0,21109.61,3241.55,509652.2,1466556
163120,2000,0,3,2.5,2370,7344,1,20524.59,3591.25,543475.4,1464293
215603,2000,0,4,3.0,3328,7803,1,20233.37,2644.09,600718.8,1522783
134400,2003,20,3,2.0,1673,10890,0,11468.83,3035.16,572474.8,1530733
157933,2003,6,3,2.0,1708,8002,0,14796.69,559.59,491594.0,1553197
197999,2002,12,4,2.0,2270,9969,1,14461.34,167.99,487671.4,1536394
98813,2003,43,3,2.0,960,8874,0,15130.72,757.25,584001.9,1538076
117593,2005,27,3,2.0,1683,7614,0,7721.79,1389.62,513046.9,1544038
132503,2000,0,3,2.0,1917,6954,0,9690.56,287.58,535431.6,1499299
253491,2004,0,4,3.5,3411,7200,0,12999.03,4760.2,569405.1,1506095
113541,2000,0,3,2.0,1484,6264,0,23933.13,702.09,486733.8,1593193
173803,2001,3,3,2.0,1932,10909,0,15273.26,87.68,485419.4,1539499
235969,2002,15,3,2.0,2079,12445,1,12494.27,456.15,498761.3,1511603
547881,2000,0,4,4.0,3717,12469,1,19534.28,310.15,492784.4,1482705
145994,2003,13,3,2.5,1477,5500,0,5097.12,681.54,548285.9,1521150
104671,2004,24,3,1.5,1359,8009,0,9866.92,1895.42,564637.5,1518427
66198,2001,17,3,1.5,1234,1906,0,21230.38,1066.41,465168.5,1532231
154531,2002,7,2,1.0,1027,7507,0,3723.98,624.54,531890.4,1542959
87262,2000,3,3,2.0,1215,7299,0,8925.06,1115.12,512366.0,1549888
24545,2001,61,2,1.0,722,8498,0,6375.12,1361.36,513916.8,1530730
165886,2003,0,3,2.0,1849,5500,0,21580.84,1406.62,605390.9,1524887
142616,2004,14,3,2.0,1512,64566,0,13145.1,3666.81,577425.4,1524214
162771,2002,43,3,2.0,2334,11464,1,5838.17,104.22,544663.4,1514649
50909,2000,25,2,1.0,776,7804,0,12637.21,2266.92,538158.6,1489756
139415,2001,6,4,2.0,1838,5000,0,23561.66,317.16,486955.1,1591819
124491,2002,11,3,2.0,1528,6909,0,12448.2,365.78,573089.4,1545443
145615,2002,0,3,2.0,1443,6985,0,17038.83,167.45,506856.1,1579524
241724,2004,2,3,2.0,2317,11704,0,11965.43,4819.26,573305.4,1523245
230803,2001,1,4,2.5,2687,7390,1,22711.79,1671.42,608034.4,1517022
107897,2000,0,3,2.0,1220,4945,0,8709.24,1189.17,563410.5,1530370
120238,2003,20,3,2.0,1827,9418,0,15993.77,3304.27,513496.5,1483140
278860,2002,0,4,4.0,3367,13255,1,21094.73,172.1,466831.1,1518123
125763,2002,27,3,1.0,1435,6020,0,3173.13,873.77,527950.3,1538910
122746,2003,4,3,2.0,1254,4954,0,18281.63,1774.8,594164.1,1522144
172621,2004,0,3,2.0,1598,6024,0,13817.09,5610.13,576176.6,1512460
132171,2004,33,3,2.0,1391,8452,0,5134.2,674.85,542109.6,1515898
87693,2001,12,3,2.0,1892,7292,0,18429.19,6233.79,523389.0,1471707
123401,2001,0,3,2.0,1639,9664,0,13876.08,2708.93,580234.4,1527496
406174,2005,3,3,3.0,2006,7515,0,9274.77,271.41,548436.3,1558330
240957,2003,0,4,3.0,2553,11266,0,11901.11,4711.03,573036.2,1522950
109053,2002,6,3,2.0,1030,4954,0,13626.24,1923.07,579538.4,1532390
342819,2003,0,3,2.0,2976,9855,1,16944.1,202.94,479561.0,1525009
101791,2004,0,3,2.0,1440,2310,0,22050.29,724.17,462473.7,1531973
181248,2004,0,3,2.0,1863,5708,0,23064.22,2478.93,608629.4,1514233
171439,2002,3,4,2.0,1973,6527,0,22220.41,3822.31,510252.9,1462440
87227,2001,47,4,2.0,1425,7823,0,7163.15,629.93,512267.2,1537679
242120,2004,0,5,3.0,2716,12516,1,21227.23,7639.81,529749.6,1461617
99299,2003,24,2,2.0,1312,6675,0,15453.41,3068.81,512850.5,1485393
155507,2003,4,3,2.0,1786,12004,0,12929.98,4455.48,567891.1,1504486
119362,2003,6,3,2.0,1052,5135,0,12062.51,368.28,513359.8,1564354
143180,2003,38,3,1.5,1385,7693,0,3600.69,247.91,545997.3,1527214
